Eulamprotes atrella  Denis & Schiff.
Eulamprotes phaeella  Heckford & Lang.
Eulamprotes wilkella  Linnaeus
Eunebristis zingarella  Walsingham
Eurysacca melanocampta  Meyrick
Eustalodes achrasella  Bradley
Eustalodes anthivora  Clarke
Evippe
Evippe abdita  Braun
Evippe albidorsella Snellen
Evippe evippella  Forbes
Evippe laudatella  Walsingham
Evippe prunifoliella  Chambers
Evippe sp.
Evippe sp.  
Evippe syrictis  Meyrick
Exoteleia anomala  Hodges
Exoteleia burkei  Keifer
Exoteleia dodecella  Linnaeus
Exoteleia graphicella  Busck
Exoteleia nepheos  Freeman
Exoteleia pinifoliella  Chambers
Faristenia acerella  Ponomarenko
Faristenia furtumella  Ponomarenko
Faristenia geminisignella  Ponomarenko
Faristenia omelkoi  Ponomarenko
Faristenia polemica  Meyrick
Faristenia quercivora  Ponomarenko
Faristenia ussuriella  Ponomarenko
Fascista cercerisella  Chambers
Filatima aulaea  Clarke
Filatima demissae  Keifer
Filatima epulatrix  Hodges
Filatima frugalis  Braun
Filatima glycyrhizaeella  Chambers
Filatima inquilinella  Busck
Filatima monotaeniella  Bottimer
Filatima natalis  Heinrich
Filatima neotrophella  Heinrich
Filatima ornatifimbriella  Clemens
Filatima persicaeella  Murtfeldt
Filatima pravinominella  Chambers
Filatima prognosticata  Braun
Filatima pseudacaciella  Chambers
Filatima saliciphaga  Keifer
Filatima serotinella  Busck
Filatima sp.  
Filatima sperryi  Clarke
Filatima spurcella  Duponchel
Filatima textorella  ChrÃƒÂ©tien
Filatima xanthuris  Meyrick
Friseria acaciella  Busck
Friseria cockerelli  Busck
Frumenta nephelomicta  Meyrick
Frumenta nundinella  Zeller
Gelechia   
Gelechia albisparsella  Chambers
Gelechia albomaculata  Omelko
Gelechia anarsiella  Chambers
Gelechia asinella  Hubner
Gelechia basipunctella  Herrich-SchÃƒÂ¤ffer
Gelechia caudatae  Clarke
Gelechia conditor  Omelko
Gelechia cuneatella  Douglas
Gelechia desiliens  Meyrick
Gelechia dyariella  Busck
Gelechia fuscooculata  Omelko
Gelechia hippophaella  Schrank
Gelechia mandella  Busck
Gelechia monella  Busck
Gelechia muscosella  Zeller
Gelechia nigra  Haworth
Gelechia nr. epistolica  Meyrick
Gelechia panella  Busck
Gelechia paroxynta  Meyrick
Gelechia pistaciae  Filipjev
Gelechia rhombella  Denis & Schiff.
Gelechia rhombelliformis  Staudinger
Gelechia ribesella  Chambers
Gelechia sabinella  Zeller
Gelechia scotinella  Herrich-SchÃƒÂ¤ffer
Gelechia senticetella  Staudinger
Gelechia sestertiella  Herrich-SchÃƒÂ¤ffer
Gelechia sororculella  Hubner
Gelechia stenacma  Meyrick
Gelechia teleiodella  Omelko
Gelechia turpella  Denis & Schiff.
Gelechia versutella  Zeller
Gladiovalva rumicivorella  MilliÃƒÂ¨re
Glycerophthora clavicularis  Meyrick
Glyphidocera   
Glyphidocera juniperella  Adamski & Brown
Glyphidocera sp.  
Gnorimoschema   
Gnorimoschema ambrosiaeella  Chambers
Gnorimoschema baccharisella  Busck
Gnorimoschema banksiella  Busck
Gnorimoschema busckiella  Kearfott
Gnorimoschema coquillettella  Busck
Gnorimoschema epithymella  Staudinger
Gnorimoschema ericameriae  Keifer
Gnorimoschema gallaeasterella  Kellicott
Gnorimoschema gallaesolidaginis  Riley
Gnorimoschema gibsoniella  Busck
Gnorimoschema octomaculella  Chambers
Gnorimoschema salinaris  Busck
Gnorimoschema saphirinella  Chambers
Gnorimoschema septentrionella  Fyles
Gnorimoschema sp.
Gnorimoschema sp.  
Gnorimoschema sp. A
Gnorimoschema sp. B  
Gnorimoschema spp.  
Gnorimoschema subterranea  Busck
Gnorimoschema terracottella  Busck
Gnorimoschema washingtoniella  Busck
Harpagidia magnetella  Staudinger
Hedma microcasis  Meyrick
Helcystogramma   
Helcystogramma arotraea  Meyrick
Helcystogramma cerinura  Meyrick
Helcystogramma chambersella  Murtfeldt
Helcystogramma convolvuli  Walsingham
Helcystogramma convulvuli  Walsingham
Helcystogramma delocosma  Meyrick
Helcystogramma engrapta  Meyrick
Helcystogramma fuscomarginatum  Ueda
Helcystogramma hibisci  Stainton
Helcystogramma hystricella  Braun
Helcystogramma idiastis  Meyrick
Helcystogramma lamprostoma  Zeller
Helcystogramma lutatella  Herrich-SchÃƒÂ¤ffer
Helcystogramma macroscopa  Meyrick
Helcystogramma malacogramma  Meyrick
Helcystogramma melantherella  Busck
Helcystogramma melissia  Walsingham
Helcystogramma nr. lamprostoma  Zeller
Helcystogramma nr. malacogramma  Meyrick
Helcystogramma nr. musicopa  Meyrick
Helcystogramma philomusa  Meyrick
Helcystogramma rufescens  Haworth
Helcystogramma sp.
Helcystogramma tegulella  Walsingham
Helcystogramma triannulella  Herrich-SchÃƒÂ¤ffer
Heliangara   
Heliangara macaritis  Meyrick
Holophysis emblemella  Clemens
Holophysis stagmatophoria  Walsingham
Hypatima
Hypatima   
Hypatima anthotypa  Meyrick
Hypatima arignota  Meyrick
Hypatima ephippiastis  Meyrick
Hypatima excellentella  Ponomarenko
Hypatima haligramma  Meyrick
Hypatima mangiferae  Sattler
Hypatima melanocharis  Meyrick
Hypatima melanoplecta  Meyrick
Hypatima nr. tephroplintha  Meyrick
Hypatima phacelota  Meyrick
Hypatima rhicnota  Meyrick
Hypatima rhomboidella  Linnaeus
Hypatima scopulosa  Meyrick
Hypatima sp.
Hypatima sp. 1  
Hypatima sp. 2  
Hypatima sp. 3  
Hypatima sp. 4
Hypatima sp. 4  
Hypatima spathota  Meyrick
Hypatima stictocosma  Meyrick
Hypatima taphronoma  Meyrick
Hypatima tephroplintha?  Meyrick
Hypatima tricosma  Meyrick
Hypatima venefica  Ponomarenko
Hypelictis albiscripta  Meyrick
Idiophantis   
Idiophantis acanthopa  Meyrick
Idiophantis chiridota  Meyrick
Idiophantis discura  Meyrick
Idiophantis eugeniae  Bradley
Idiophantis nr. eugeniae  Bradley
Isophrictis anthemidella  Wocke
Isophrictis cerdanica  Nel
Isophrictis lineatellus  Zeller
Isophrictis rudbeckiella  Bottimer
Isophrictis similiella  Chambers
Isophrictis striatella  Denis & Schiff.
Istrianis   
Istrianis crauropa  Meyrick
Istrianis squamodorella  Amsel
Istrianis steganotricha  Meyrick
Iwaruna biguttella  Duponchel
Keiferia colombiana  Povolny
Keiferia lycopersicella  Walsingham
Kertomesis anaphracta  Meyrick
Laris argobathra  Meyrick
Macrenches clerica  Rosenstock
Megacraspedus calamogonus  Meyrick
Megacraspedus dolosellus  Zeller
Megacraspedus peyerimhoffi  le Cerf
Megalocypha melongenae  Povolny & Brad.
Megalocypha microcasis?  Meyrick
Merimnetria compsodelta  Meyrick
Merimnetria elegantior  Walsingham
Merimnetria flaviterminella  Walsingham
Merimnetria gratula  Meyrick
Merimnetria homoxyla  Meyrick
Merimnetria ichthyochroa  Walsingham
Merimnetria mendax  Walsingham
Merimnetria multiformis  Meyrick
Merimnetria nigriciliella  Walsingham
Merimnetria straussiella  Swezey
Merimnetria thurifica  Meyrick
Merimnetria xylospila  Meyrick
Mesophleps
Mesophleps   
Mesophleps corsicella  Herrich-SchÃƒÂ¤ffer
Mesophleps crocina  Meyrick
Mesophleps epiochra  Meyrick
Mesophleps oxycedrella  MilliÃƒÂ¨re
Mesophleps palpigera  Walsingham
Mesophleps silacella  Hubner
Mesophleps trinotella  Herrich-SchÃƒÂ¤ffer
Meteoristis religiosa  Meyrick
Metzneria aestivella  Zeller
Metzneria aprilella  Herrich-SchÃƒÂ¤ffer
Metzneria carlinella  Stainton
Metzneria dichroa  Walsingham
Metzneria eatoni  Walsingham
Metzneria lappella  Linnaeus
Metzneria littorella  Douglas
Metzneria metzneriella  Stainton
Metzneria monochroa  Walsingham
Metzneria neuropterella  Zeller
Metzneria paucipunctella  Zeller
Metzneria talassica  Piskunov
Metzneria tenuiella  Mann
Mirificarma cabezella  ChrÃƒÂ©tien
Mirificarma cytisella  Treitschke
Mirificarma denotata  Pitkin
Mirificarma eburnella  Denis & Schiff.
Mirificarma flavella  Duponchel
Mirificarma interrupta  Haworth
Mirificarma lentiginosella  Zeller
Mirificarma maculatella  Hubner
Mirificarma mulinella  Zeller
Mirificarma ocellinella  ChrÃƒÂ©tien
Mirificarma ulicinella  Staudinger
Mometa anthophthora  Meyrick
Mometa chlidanopa  Meyrick
Mometa cunctatrix  Meyrick
Mometa erebodoxa  Meyrick
Mometa zemiodes  Durrant
Monochroa absconditella  Walker
Monochroa arundinetella  Stainton
Monochroa conspersella  Herrich-SchÃƒÂ¤ffer
Monochroa cytisella  Curtis
Monochroa disconotella  Chambers
Monochroa divisella  Douglas
Monochroa elongella  Heinemann
Monochroa fragariae  Busck
Monochroa hornigi  Staudinger
Monochroa ingravata  Meyrick
Monochroa japonica  Sakamaki
Monochroa lucidella  Stephens
Monochroa lutulentella  Zeller
Monochroa melagonella  Constant
Monochroa moyses  Uffen
Monochroa nigromaculella  MilliÃƒÂ¨re
Monochroa niphognatha  GozmÃƒÂ¡ny
Monochroa palustrella  Douglas
Monochroa palustrellus  Douglas
Monochroa rebeli  Hering
Monochroa rhenanella  Heydenreich
Monochroa rumicetella  Hofmann
Monochroa scutatella  MÃƒÂ¼ller-Rutz
Monochroa servella  Zeller
Monochroa tenebrella  Hubner
Monochroa tetragonella  Stainton
Myconita lipara  Bradley
Myconita plutelliformis  Snellen
Nealyda bifidella  Dietz
Nealyda kinzelella  Busck
Nealyda phytolaccae  Clarke
Nealyda pisoniae  Busck
Neofaculta ericetella  Geyer
Neofaculta infernella  Herrich-SchÃƒÂ¤ffer
Neofriseria peliella  Treitschke
Neofriseria singula  Staudinger
Neotelphusa praefixa  Braun
Neotelphusa querciella  Chambers
Nothris congressariella  Bruand
Nothris verbascella  Denis & Schiff.
Nothris verbascella  Hubner
Nuntia incognitella (Caradja)
Oecocecis guyonella  GuenÃƒÂ©e
Ornativalva   
Ornativalva erubescens  Walsingham
Ornativalva heluanensis  Debski
Ornativalva indica  Sattler
Ornativalva indica?  Sattler
Ornativalva macrosignella  Sattler
Ornativalva nr. serratisignella  Sattler
Ornativalva plutelliformis  Staudinger
Ornativalva rufipuncta  Sattler
Ornativalva sesostrella  Rebel
Ornativalva sieversi  Staudinger
Ornativalva tamariciella  Zeller
Ornativalva tamariciella?  Zeller
Ornativalva zonella  ChrÃƒÂ©tien
Palumbina glaucitis  Meyrick
Palumbina guerinii  Stainton
Parachronistis albiceps  Zeller
Paralida balanaspis  Meyrick
Paralida triannulata  Clarke
Parapodia sinaica  Frauenfeld
Pectinophora endema  Common
Pectinophora gossypiella  Saunders
Pectinophora scutigera  Holdaway
Pectinophora spp.  
Peucoteles herpestica  Meyrick
Pexicopia malvella  Hubner
Phloeocecis cherregella  ChrÃƒÂ©tien
Phthorimaea operculella  Zeller
Physoptila pinguivora  Meyrick
Physoptila scenica  Meyrick
Pityocona xeropis  Meyrick
Platyedra   
Platyedra sp.
Platyedra sp.  
Platyedra subcinerea  Haworth
Pogochaetia solitaria  Staudinger
Polyhymno
Polyhymno acaciella  Busck
Polyhymno alcimacha  Meyrick
Polyhymno chionarcha  Meyrick
Polyhymno luteostrigella  Chambers
Polyhymno luteostrigella ?  Chambers
Prolita puertella  Busck
Prolita sexpunctella  Fabricius
Prolita solutella  Zeller
Prolita variabilis  Busck
Prostomeus brunneus  Busck
Psamathocrita argentella  Pierce & Metc.
Psamathocrita osseella  Stainton
